3.161018593782476821e-02 7.140031571744603726e-03 5.007332963296823140e-03 9.009587309770112230e-04 2.065437604588095562e-03 4.666194604404413481e-04 2.649975047171056718e-04 4.815563071116716058e-05 1.849683517122121569e-03 4.178020013122914710e-04 2.930021422863995657e-04 5.271929450328685055e-05 1.361403031062133134e-04 3.075668353548041581e-05 1.739523551532962212e-05 3.162009535029231461e-06
7.140031571744601124e-03 5.522141335601876005e-02 1.005132207164653865e-03 6.341525436535036184e-03 4.666112007945186755e-04 3.609281733543974469e-03 5.364714506734409290e-05 3.415790841084098022e-04 4.178020011335134174e-04 3.231304662913901671e-03 5.881496742690048025e-05 3.710724795531526819e-04 3.075613892790644599e-05 2.379024572900670191e-04 3.522537528669938603e-06 2.243443600330068244e-05
5.007332963296820538e-03 1.005132207164653648e-03 4.140136541164360362e-02 6.675986455223800568e-03 2.927997258347259275e-04 5.932273992619966236e-05 1.977023533957906164e-03 3.188556775953257645e-04 2.930025703342725371e-04 5.881505510247536287e-05 2.422560131441501164e-03 3.906387795037746346e-04 1.922595351341049467e-05 3.896319061544937667e-06 1.292634483290384028e-04 2.084782367317355992e-05
9.009587309770107893e-04 6.341525436535037918e-03 6.675986455223803170e-03 3.778718842614410545e-02 5.313285574524540900e-05 3.771102228786553097e-04 3.188478252877711516e-04 1.805112412775578901e-03 5.271937067486795779e-05 3.710730247589418885e-04 3.906387793301698518e-04 2.211080189713908028e-03 3.489790748308325846e-06 2.477469112450815511e-05 2.084730594143670363e-05 1.180249304938239124e-04
2.065437604588096429e-03 4.666112007945187839e-04 2.927997258347260360e-04 5.313285574524544288e-05 5.804624945975744160e-02 1.311519276776420412e-02 6.833420533148018561e-03 1.251103158502211076e-03 1.292161385358944574e-04 2.919187985953002396e-05 1.823302959510000797e-05 3.309648531736616285e-06 4.015009338228824227e-03 9.071666526142102257e-04 4.726583964879899958e-04 8.653714937151258356e-05
4.666194604404414565e-04 3.609281733543976637e-03 5.932273992619966236e-05 3.771102228786552013e-04 1.311519276776420932e-02 1.014555996245002367e-01 1.394633708082027414e-03 8.938045602306319767e-03 2.919238877699067720e-05 2.258027488580779962e-04 3.695123713971373929e-06 2.349601852038425169e-05 9.071666524149469852e-04 7.017596981380176853e-03 9.646496308595464459e-05 6.182330539020552788e-04
2.649975047171055633e-04 5.364714506734410645e-05 1.977023533957905730e-03 3.188478252877710974e-04 6.833420533148015959e-03 1.394633708082027848e-03 4.186802192044326160e-02 6.753698305400505919e-03 1.651435638185702357e-05 3.344229128060030379e-06 1.226280736693064735e-04 1.977717661727417136e-05 4.726588540812657127e-04 9.646505682489013589e-05 2.895931249086293284e-03 4.671404414871246392e-04
4.815563071116716058e-05 3.415790841084098564e-04 3.188556775953257645e-04 1.805112412775579118e-03 1.251103158502210860e-03 8.938045602306324972e-03 6.753698305400506786e-03 3.824286886603128766e-02 3.001906207966034059e-06 2.129888473853496888e-05 1.977766048214886263e-05 1.119665106437017803e-04 8.653723078211711893e-05 6.182336366643376114e-04 4.671404413049655554e-04 2.645186402301284191e-03
1.849683517122121352e-03 4.178020011335136343e-04 2.930025703342725913e-04 5.271937067486799167e-05 1.292161385358943761e-04 2.919238877699067381e-05 1.651435638185703034e-05 3.001906207966034482e-06 3.796624199529124305e-02 8.575722284618701036e-03 6.014031830419289300e-03 1.082093692232371802e-03 2.964836916371944246e-03 6.698158354923990435e-04 3.775817324892040460e-04 6.865245945562773822e-05
4.178020013122913626e-04 3.231304662913900803e-03 5.881505510247538320e-05 3.710730247589419969e-04 2.919187985953000702e-05 2.258027488580780233e-04 3.344229128060032073e-06 2.129888473853496888e-05 8.575722284618695831e-03 6.632512930918847693e-02 1.207210868253600754e-03 7.616480575085207011e-03 6.698041512298138003e-04 5.181031911583247260e-03 7.648016073328464605e-05 4.872011938100439545e-04
